GameID,PlayedID,PlayerName,TeamAbbreviation,Agent,ACS,Kills,Deaths,Assists,PlusMinus,KAST_Present,ADR,HS_Present,FirstKills,FirstDeaths,FKFD_PlusMinus,Num_2Ks,Num_3Ks,Num_4Ks,Num_5Ks,OnevOne,OnevTwo,OnevThree,OnevFour,OnevFive,Econ,Plants,Defuses
60736,1107,contii,Mina,astra,242,22,18,6,4,0.78,131,0.17,3,1,2,3,3,0,0,0,0,0,0,0,47,0,0
60736,2116,mina,Mina,jett,242,20,18,8,2,0.83,161,0.19,1,1,0,0,3,0,0,0,0,0,0,0,61,0,0
60736,1413,Moechilla,Mina,chamber,236,18,21,6,-3,0.74,157,0.45,6,2,4,5,1,0,0,0,0,0,0,0,61,0,0
60736,846,RESHURA,Mina,sova,192,16,15,6,1,0.74,127,0.3,3,2,1,3,0,0,0,1,1,0,0,0,49,3,3
60736,904,Kyro,Mina,skye,141,12,19,2,-7,0.61,94,0.19,2,2,0,3,0,0,0,0,0,0,0,0,38,5,0
60709,603,sSef,RAD,viper,365,22,9,5,13,0.94,220,0.28,3,1,2,4,2,1,0,0,0,0,0,0,100,0,0
60709,4009,cheatcode,RAD,raze,291,15,9,4,6,0.69,190,0.3,2,1,1,3,2,0,0,0,0,0,0,0,78,1,0
60709,823,Rebo,RAD,astra,221,15,6,4,9,0.88,126,0.32,1,2,-1,4,1,0,0,1,0,0,0,0,57,1,1
60709,5157,venture,RAD,sova,177,10,6,11,4,0.94,112,0.32,2,0,2,3,0,0,0,0,0,0,0,0,51,1,2
60709,3984,FIEND,RAD,sage,170,10,7,11,3,0.81,110,0.13,3,1,2,0,1,0,0,0,0,0,0,0,47,1,2
60709,8343,DBK,LT,raze,233,12,15,1,-3,0.5,148,0.19,1,3,-2,2,2,0,0,0,0,0,0,0,57,0,0
60709,8399,mocking,LT,viper,158,8,14,1,-6,0.38,106,0.3,2,4,-2,1,0,1,0,0,0,0,0,0,41,1,0
60709,8397,dip,LT,astra,125,7,15,1,-8,0.31,76,0.38,1,1,0,2,0,0,0,0,0,0,0,0,28,3,0
60709,466,ChurmZ,LT,sova,107,5,14,2,-9,0.44,72,0.12,0,3,-3,1,0,0,0,0,0,0,0,0,31,1,0
60709,6432,Tkaz,LT,skye,92,5,14,4,-9,0.31,61,0.27,1,0,1,1,0,0,0,0,0,0,0,0,24,2,0
60710,891,duck,TB,jett,278,18,11,6,7,0.94,174,0.2,6,1,5,4,0,0,0,0,0,0,0,0,87,0,0
60710,12904,royal,TB,sova,224,15,10,9,5,1,148,0.38,2,2,0,5,0,0,0,0,1,0,0,0,63,0,0
60710,2125,Nanners,TB,killjoy,222,14,11,6,3,0.72,160,0.13,2,1,1,1,2,0,0,0,0,0,0,0,67,0,0
60710,6418,hydra,TB,kayo,208,15,5,12,10,0.83,155,0.22,1,0,1,4,1,0,0,0,0,0,0,0,73,4,0
60710,1765,ohai,TB,astra,205,14,10,10,4,0.89,139,0.27,1,2,-1,5,0,0,0,0,0,0,0,0,55,4,0
60710,8345,ZexRow,BA,jett,210,13,15,3,-2,0.61,147,0.29,2,4,-2,5,0,0,0,0,0,0,0,0,61,0,0
60710,31,Trick,BA,sova,183,8,16,12,-8,0.67,142,0.13,0,0,0,1,0,0,0,0,0,0,0,0,59,0,0
60710,4001,Jangler,BA,killjoy,161,10,13,3,-3,0.61,120,0.41,0,1,-1,2,1,0,0,1,0,0,0,0,56,1,1
60710,3882,Menace,BA,astra,150,8,16,7,-8,0.44,102,0.17,1,3,-2,1,1,0,0,0,0,0,0,0,43,0,0
60710,6434,caders,BA,kayo,127,8,16,7,-8,0.5,75,0.14,3,4,-1,1,0,0,0,0,0,0,0,0,32,1,0
60717,146,randyySAVAGE,RNG,sova,293,18,5,1,13,0.93,190,0.3,3,0,3,3,0,0,1,0,0,1,0,0,114,2,1
60717,68,Stronglegs,RNG,kayo,274,16,6,8,10,0.87,185,0.31,0,0,0,4,1,0,0,0,0,0,0,0,79,1,0
