TeamName,RoundType,Won,Lost
SURR,semi-buysemi-eco,0,1
SURR,semi-ecoeco,0,0
SURR,semi-ecofull-buy,7,5
SURR,semi-ecosemi-buy,3,0
SURR,semi-ecosemi-eco,0,0
BK ROG,ecoeco,2,2
BK ROG,ecofull-buy,0,0
BK ROG,ecosemi-buy,2,2
BK ROG,ecosemi-eco,0,0
BK ROG,full-buyeco,0,0
BK ROG,full-buyfull-buy,5,12
BK ROG,full-buysemi-buy,1,1
BK ROG,full-buysemi-eco,0,0
BK ROG,semi-buyeco,0,0
BK ROG,semi-buyfull-buy,1,5
BK ROG,semi-buysemi-buy,2,0
BK ROG,semi-buysemi-eco,0,0
BK ROG,semi-ecoeco,0,0
BK ROG,semi-ecofull-buy,3,4
BK ROG,semi-ecosemi-buy,0,0
BK ROG,semi-ecosemi-eco,0,0
LG,ecoeco,11,13
LG,ecofull-buy,0,0
LG,ecosemi-buy,8,3
LG,ecosemi-eco,0,0
LG,full-buyeco,0,0
LG,full-buyfull-buy,51,29
LG,full-buysemi-buy,17,8
LG,full-buysemi-eco,13,5
LG,semi-buyeco,8,3
LG,semi-buyfull-buy,15,7
LG,semi-buysemi-buy,7,6
LG,semi-buysemi-eco,0,0
LG,semi-ecoeco,0,0
LG,semi-ecofull-buy,7,6
LG,semi-ecosemi-buy,1,1
LG,semi-ecosemi-eco,0,0
X10C,ecoeco,9,7
X10C,ecofull-buy,1,0
X10C,ecosemi-buy,4,5
X10C,ecosemi-eco,0,0
X10C,full-buyeco,0,0
X10C,full-buyfull-buy,21,39
X10C,full-buysemi-buy,15,7
X10C,full-buysemi-eco,2,2
X10C,semi-buyeco,0,0
X10C,semi-buyfull-buy,11,15
X10C,semi-buysemi-buy,4,6
X10C,semi-buysemi-eco,0,1
X10C,semi-ecoeco,0,0
X10C,semi-ecofull-buy,7,8
X10C,semi-ecosemi-buy,5,2
X10C,semi-ecosemi-eco,0,0
FEAR,ecoeco,5,3
FEAR,ecofull-buy,0,1
FEAR,ecosemi-buy,2,3
FEAR,ecosemi-eco,0,0
FEAR,full-buyeco,0,0
FEAR,full-buyfull-buy,15,8
FEAR,full-buysemi-buy,6,5
FEAR,full-buysemi-eco,6,0
FEAR,semi-buyeco,2,1
FEAR,semi-buyfull-buy,0,5
FEAR,semi-buysemi-buy,1,0
FEAR,semi-buysemi-eco,0,0
FEAR,semi-ecoeco,0,0
FEAR,semi-ecofull-buy,0,4
FEAR,semi-ecosemi-buy,0,0
FEAR,semi-ecosemi-eco,0,0
GIEF,ecoeco,5,7
GIEF,ecofull-buy,0,0
GIEF,ecosemi-buy,0,2
GIEF,ecosemi-eco,0,0
